itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
0,15.9257,15.9257,4.5814,4.5814,800.0,18.0000,8.0445,0.0011,0.0000
1,29.4885,13.5629,4.5811,4.5811,800.0,18.0000,8.0000,0.0011,0.0000
2,42.7965,13.3079,4.5794,4.5794,800.0,18.0000,7.9261,0.0010,0.0000
3,56.3523,13.5559,4.5773,4.5773,800.0,18.0000,7.8079,0.0010,0.0000
4,69.8598,13.5075,4.5746,4.5746,800.0,18.0000,7.6724,0.0010,0.0000
5,83.3720,13.5122,4.5708,4.5708,800.0,18.0000,7.5053,0.0010,0.0000
6,96.8770,13.5050,4.5671,4.5671,800.0,18.0000,7.3195,0.0010,0.0000
7,110.2220,13.3450,4.5627,4.5627,800.0,18.0000,7.1399,0.0010,0.0000
8,123.7464,13.5244,4.5580,4.5580,800.0,18.0000,6.9698,0.0011,0.0000
9,137.2377,13.4913,4.5536,4.5536,800.0,18.0000,6.7914,0.0012,0.0000
10,150.7583,13.5206,4.5486,4.5486,800.0,18.0000,6.6023,0.0013,0.0000
11,164.4738,13.7155,4.5434,4.5434,800.0,18.0000,6.3675,0.0015,0.0000
12,178.1322,13.6584,4.5380,4.5380,800.0,18.0000,6.0962,0.0018,0.0000
13,191.7207,13.5885,4.5325,4.5325,800.0,18.0000,5.7831,0.0022,0.0000
14,205.4662,13.7456,4.5271,4.5271,800.0,18.0000,5.4261,0.0026,0.0000
15,219.0588,13.5926,4.5214,4.5214,800.0,18.0000,5.0407,0.0032,0.0000
16,232.5103,13.4515,4.5159,4.5158,800.0,18.0000,4.6532,0.0039,0.0000
17,246.1954,13.6851,4.5111,4.5111,800.0,18.0000,4.2768,0.0047,0.0000
18,259.6748,13.4794,4.5059,4.5059,800.0,18.0000,3.9026,0.0057,0.0000
19,273.2456,13.5708,4.5019,4.5019,800.0,18.0000,3.5313,0.0069,0.0000
20,286.9799,13.7343,4.4975,4.4974,800.0,18.0000,3.1355,0.0082,0.0000
21,300.4589,13.4790,4.4940,4.4939,800.0,18.0000,2.7054,0.0096,0.0000
22,314.0942,13.6353,4.4907,4.4906,800.0,18.0000,2.2477,0.0112,0.0000
23,327.8896,13.7955,4.4877,4.4876,800.0,18.0000,1.7924,0.0129,0.0000
24,341.6373,13.7477,4.4859,4.4858,800.0,18.0000,1.3864,0.0147,0.0000
25,355.5021,13.8648,4.4844,4.4843,800.0,18.0000,1.1546,0.0164,0.0000
26,369.3748,13.8727,4.4834,4.4832,800.0,18.0000,1.1553,0.0182,0.0000
27,383.2724,13.8976,4.4828,4.4826,800.0,18.0000,1.3053,0.0199,0.0000
28,397.1454,13.8729,4.4818,4.4816,800.0,18.0000,1.5081,0.0214,0.0000
29,410.6632,13.5178,4.4811,4.4809,800.0,18.0000,1.6916,0.0228,0.0000
30,424.4102,13.7470,4.4806,4.4803,800.0,18.0000,1.8584,0.0240,0.0000
31,438.1366,13.7264,4.4800,4.4798,800.0,18.0000,2.0138,0.0249,0.0000
32,451.8769,13.7403,4.4786,4.4783,800.0,18.0000,2.1398,0.0255,0.0000
33,465.6647,13.7878,4.4775,4.4772,800.0,18.0000,2.2366,0.0259,0.0000
34,479.4390,13.7743,4.4765,4.4763,800.0,18.0000,2.2566,0.0261,0.0000
35,493.1852,13.7462,4.4741,4.4738,800.0,18.0000,2.2311,0.0260,0.0000
36,506.8443,13.6591,4.4721,4.4718,800.0,18.0000,2.1466,0.0257,0.0000
37,520.5172,13.6729,4.4699,4.4696,800.0,18.0000,2.0241,0.0253,0.0000
38,534.2459,13.7287,4.4673,4.4670,800.0,18.0000,1.8982,0.0248,0.0000
39,547.9092,13.6634,4.4652,4.4650,800.0,18.0000,1.7591,0.0243,0.0000
40,561.6955,13.7863,4.4622,4.4619,800.0,18.0000,1.6079,0.0237,0.0000
41,575.4189,13.7234,4.4596,4.4594,800.0,18.0000,1.4468,0.0233,0.0000
42,588.9630,13.5441,4.4565,4.4563,800.0,18.0000,1.2941,0.0230,0.0000
43,602.6739,13.7109,4.4538,4.4536,800.0,18.0000,1.1732,0.0228,0.0000
44,616.4012,13.7273,4.4509,4.4507,800.0,18.0000,1.1109,0.0230,0.0000
45,630.0970,13.6958,4.4476,4.4473,800.0,18.0000,1.0894,0.0235,0.0000
46,643.5764,13.4794,4.4443,4.4441,800.0,18.0000,1.0861,0.0245,0.0000
47,657.2316,13.6551,4.4400,4.4398,800.0,18.0000,1.1113,0.0260,0.0000
48,670.8170,13.5855,4.4367,4.4365,800.0,18.0000,1.1743,0.0282,0.0000
49,684.4949,13.6778,4.4322,4.4319,800.0,18.0000,1.2533,0.0312,0.0000
50,698.1937,13.6989,4.4277,4.4274,800.0,18.0000,1.3402,0.0351,0.0000
51,711.9338,13.7400,4.4226,4.4222,800.0,18.0000,1.4089,0.0403,0.0000
52,725.4208,13.4870,4.4168,4.4163,800.0,18.0000,1.4595,0.0468,0.0000
53,738.8966,13.4758,4.4106,4.4101,800.0,18.0000,1.5042,0.0551,0.0000
54,752.5195,13.6229,4.4032,4.4026,800.0,18.0000,1.5399,0.0653,0.0000
55,766.0582,13.5387,4.3954,4.3946,800.0,18.0000,1.5654,0.0781,0.0000
56,779.8611,13.8029,4.3865,4.3855,800.0,18.0000,1.5929,0.0940,0.0000
57,793.5172,13.6562,4.3766,4.3755,800.0,18.0000,1.6438,0.1138,0.0001
58,807.1857,13.6685,4.3660,4.3647,800.0,18.0000,1.7309,0.1382,0.0001
59,820.7310,13.5453,4.3541,4.3524,800.0,18.0000,1.8847,0.1687,0.0001
60,834.2128,13.4818,4.3411,4.3390,800.0,18.0000,2.1077,0.2067,0.0001
61,847.8075,13.5947,4.3268,4.3243,800.0,18.0000,2.3906,0.2540,0.0002
62,861.4853,13.6778,4.3113,4.3081,800.0,18.0000,2.7463,0.3134,0.0002
63,875.0255,13.5402,4.2952,4.2914,800.0,18.0000,3.1306,0.3876,0.0003
64,888.6885,13.6631,4.2780,4.2732,800.0,18.0000,3.5092,0.4804,0.0004
65,902.6962,14.0077,4.2598,4.2539,800.0,18.0000,3.8527,0.5921,0.0005
66,916.2205,13.5243,4.2412,4.2340,800.0,18.0000,4.0747,0.7190,0.0007
67,929.9245,13.7040,4.2220,4.2136,800.0,18.0000,4.0555,0.8452,0.0009
68,943.5815,13.6570,4.2018,4.1923,800.0,18.0000,3.6837,0.9467,0.0010
69,957.2588,13.6773,4.1819,4.1717,800.0,18.0000,2.9815,1.0111,0.0012
70,971.0477,13.7890,4.1635,4.1530,800.0,18.0000,2.1784,1.0446,0.0013
71,984.5103,13.4626,4.1479,4.1371,800.0,18.0000,1.7816,1.0710,0.0013
72,998.3451,13.8348,4.1353,4.1240,800.0,18.0000,1.8897,1.1246,0.0014
73,1012.1942,13.8491,4.1239,4.1115,800.0,18.0000,1.8414,1.2325,0.0016
74,1025.7101,13.5159,4.1154,4.1016,800.0,18.0000,1.6536,1.3754,0.0018
75,1039.5315,13.8214,4.1086,4.0941,800.0,18.0000,1.5829,1.4493,0.0020
76,1053.1913,13.6598,4.1028,4.0887,800.0,18.0000,1.4376,1.4085,0.0022
77,1066.6256,13.4344,4.0988,4.0857,800.0,18.0000,1.9346,1.3141,0.0020
78,1080.3526,13.7269,4.0947,4.0822,800.0,18.0000,1.9348,1.2514,0.0022
79,1093.9357,13.5832,4.0887,4.0765,800.0,18.0000,1.5383,1.2181,0.0023
80,1107.4406,13.5049,4.0832,4.0717,800.0,18.0000,1.7208,1.1501,0.0023
81,1121.1848,13.7442,4.0756,4.0652,800.0,18.0000,1.7912,1.0422,0.0024
82,1134.6751,13.4903,4.0685,4.0590,800.0,18.0000,1.8077,0.9464,0.0025
83,1148.2209,13.5459,4.0603,4.0514,800.0,18.0000,1.5588,0.8938,0.0025
84,1161.8961,13.6751,4.0526,4.0438,800.0,18.0000,1.1797,0.8775,0.0026
85,1175.5646,13.6686,4.0442,4.0354,800.0,18.0000,1.1227,0.8702,0.0028
86,1189.0483,13.4836,4.0373,4.0287,800.0,18.0000,1.0738,0.8549,0.0031
87,1202.6778,13.6296,4.0301,4.0217,800.0,18.0000,0.8776,0.8345,0.0029
88,1216.3995,13.7217,4.0246,4.0164,800.0,18.0000,0.9027,0.8212,0.0031
89,1230.0938,13.6942,4.0189,4.0107,800.0,18.0000,0.9957,0.8218,0.0033
90,1243.8587,13.7650,4.0146,4.0063,800.0,18.0000,1.0169,0.8327,0.0035
91,1257.6238,13.7651,4.0097,4.0012,800.0,18.0000,0.8974,0.8472,0.0038
92,1271.4445,13.8207,4.0055,3.9969,800.0,18.0000,0.7337,0.8540,0.0038
93,1284.8805,13.4360,4.0013,3.9927,800.0,18.0000,0.6289,0.8519,0.0040
94,1298.6103,13.7298,3.9976,3.9892,800.0,18.0000,0.6368,0.8425,0.0041
95,1312.4204,13.8101,3.9943,3.9860,800.0,18.0000,0.6307,0.8323,0.0044
96,1326.2181,13.7977,3.9902,3.9819,800.0,18.0000,0.5506,0.8243,0.0043
97,1339.8748,13.6567,3.9863,3.9781,800.0,18.0000,0.5565,0.8180,0.0047
98,1353.4480,13.5732,3.9831,3.9749,800.0,18.0000,0.6234,0.8122,0.0048
99,1367.2352,13.7872,3.9796,3.9715,800.0,18.0000,0.5882,0.8033,0.0050
100,1380.9852,13.7499,3.9766,3.9687,800.0,18.0000,0.4215,0.7918,0.0052
101,1394.5306,13.5455,3.9732,3.9653,800.0,18.0000,0.3664,0.7812,0.0053
102,1408.1880,13.6574,3.9703,3.9625,800.0,18.0000,0.4309,0.7732,0.0059
103,1421.8173,13.6294,3.9675,3.9597,800.0,18.0000,0.3998,0.7704,0.0061
104,1435.6350,13.8177,3.9639,3.9561,800.0,18.0000,0.3496,0.7712,0.0065
105,1449.3030,13.6680,3.9610,3.9532,800.0,18.0000,0.4072,0.7740,0.0069
106,1463.0319,13.7290,3.9579,3.9501,800.0,18.0000,0.4511,0.7769,0.0072
107,1476.6213,13.5894,3.9540,3.9461,800.0,18.0000,0.3958,0.7825,0.0076
108,1490.1905,13.5691,3.9496,3.9416,800.0,18.0000,0.3928,0.7948,0.0079
109,1503.9272,13.7367,3.9450,3.9367,800.0,18.0000,0.4488,0.8159,0.0081
110,1517.5980,13.6708,3.9409,3.9323,800.0,18.0000,0.4314,0.8467,0.0088
111,1531.3291,13.7310,3.9367,3.9277,800.0,18.0000,0.4286,0.8845,0.0097
112,1544.8669,13.5379,3.9307,3.9214,800.0,18.0000,0.4878,0.9281,0.0100
113,1558.4719,13.6050,3.9257,3.9158,800.0,18.0000,0.4920,0.9761,0.0110
114,1572.0778,13.6058,3.9194,3.9089,800.0,18.0000,0.5126,1.0313,0.0118
